"filename", "language", "Batch", "JSON", "JavaScript", "comment", "blank", "total"
"d:\Purple code\Start.bat", "Batch", 2, 0, 0, 0, 1, 3
"d:\Purple code\VsCode.bat", "Batch", 2, 0, 0, 0, 0, 2
"d:\Purple code\badwords.js", "JavaScript", 0, 0, 2, 0, 0, 2
"d:\Purple code\buttons\action.js", "JavaScript", 0, 0, 17, 0, 4, 21
"d:\Purple code\buttons\aerial.js", "JavaScript", 0, 0, 17, 0, 4, 21
"d:\Purple code\buttons\africa.js", "JavaScript", 0, 0, 17, 0, 6, 23
"d:\Purple code\buttons\analog.js", "JavaScript", 0, 0, 17, 0, 6, 23
"d:\Purple code\buttons\announcement.js", "JavaScript", 0, 0, 17, 0, 4, 21
"d:\Purple code\buttons\asia.js", "JavaScript", 0, 0, 17, 0, 6, 23
"d:\Purple code\buttons\astro.js", "JavaScript", 0, 0, 17, 0, 4, 21
"d:\Purple code\buttons\australia.js", "JavaScript", 0, 0, 17, 0, 4, 21
"d:\Purple code\buttons\automotive.js", "JavaScript", 0, 0, 17, 0, 4, 21
"d:\Purple code\buttons\beginner.js", "JavaScript", 0, 0, 17, 0, 6, 23
"d:\Purple code\buttons\betatester.js", "JavaScript", 0, 0, 17, 0, 4, 21
"d:\Purple code\buttons\botupdates.js", "JavaScript", 0, 0, 17, 0, 6, 23
"d:\Purple code\buttons\bumpreminder.js", "JavaScript", 0, 0, 17, 0, 6, 23
"d:\Purple code\buttons\chatreviver.js", "JavaScript", 0, 0, 17, 0, 4, 21
"d:\Purple code\buttons\cinema_camera.js", "JavaScript", 0, 0, 17, 0, 4, 21
"d:\Purple code\buttons\dslr.js", "JavaScript", 0, 0, 17, 0, 6, 23
"d:\Purple code\buttons\europe.js", "JavaScript", 0, 0, 17, 0, 6, 23
"d:\Purple code\buttons\event.js", "JavaScript", 0, 0, 17, 0, 4, 21
"d:\Purple code\buttons\female.js", "JavaScript", 0, 0, 17, 0, 6, 23
"d:\Purple code\buttons\giveaways.js", "JavaScript", 0, 0, 17, 0, 4, 21
"d:\Purple code\buttons\intermediate.js", "JavaScript", 0, 0, 17, 0, 4, 21
"d:\Purple code\buttons\landscape.js", "JavaScript", 0, 0, 17, 0, 6, 23
"d:\Purple code\buttons\macro.js", "JavaScript", 0, 0, 17, 0, 6, 23
"d:\Purple code\buttons\male.js", "JavaScript", 0, 0, 17, 0, 6, 23
"d:\Purple code\buttons\mirrorless.js", "JavaScript", 0, 0, 17, 0, 6, 23
"d:\Purple code\buttons\mobile.js", "JavaScript", 0, 0, 17, 0, 6, 23
"d:\Purple code\buttons\nature.js", "JavaScript", 0, 0, 17, 0, 6, 23
"d:\Purple code\buttons\north_america.js", "JavaScript", 0, 0, 17, 0, 4, 21
"d:\Purple code\buttons\otherdevice.js", "JavaScript", 0, 0, 17, 0, 6, 23
"d:\Purple code\buttons\photographer.js", "JavaScript", 0, 0, 17, 0, 6, 23
"d:\Purple code\buttons\portrait.js", "JavaScript", 0, 0, 17, 0, 4, 21
"d:\Purple code\buttons\product.js", "JavaScript", 0, 0, 17, 0, 6, 23
"d:\Purple code\buttons\professional.js", "JavaScript", 0, 0, 17, 0, 4, 21
"d:\Purple code\buttons\south_america.js", "JavaScript", 0, 0, 17, 0, 6, 23
"d:\Purple code\buttons\street.js", "JavaScript", 0, 0, 17, 0, 4, 21
"d:\Purple code\buttons\trans.js", "JavaScript", 0, 0, 17, 0, 6, 23
"d:\Purple code\buttons\travel.js", "JavaScript", 0, 0, 17, 0, 4, 21
"d:\Purple code\buttons\videogame.js", "JavaScript", 0, 0, 17, 0, 4, 21
"d:\Purple code\buttons\videographer.js", "JavaScript", 0, 0, 17, 0, 6, 23
"d:\Purple code\buttons\welcomer.js", "JavaScript", 0, 0, 17, 0, 4, 21
"d:\Purple code\buttons\wildlife.js", "JavaScript", 0, 0, 17, 0, 6, 23
"d:\Purple code\cmd.bat", "Batch", 2, 0, 0, 0, 0, 2
"d:\Purple code\commands\fun\bored.js", "JavaScript", 0, 0, 13, 0, 1, 14
"d:\Purple code\commands\fun\calc.js", "JavaScript", 0, 0, 20, 0, 1, 21
"d:\Purple code\commands\fun\fasttype.js", "JavaScript", 0, 0, 26, 0, 0, 26
"d:\Purple code\commands\fun\fight.js", "JavaScript", 0, 0, 35, 0, 0, 35
"d:\Purple code\commands\fun\flip.js", "JavaScript", 0, 0, 19, 0, 1, 20
