"filename", "language", "JSON", "JavaScript", "Log", "comment", "blank", "total"
"d:\bokeh utils code\.config\configstore\update-notifier-npm.json", "JSON", 4, 0, 0, 0, 0, 4
"d:\bokeh utils code\.npm\_logs\2022-03-06T06_13_23_872Z-debug-0.log", "Log", 0, 0, 1322, 0, 1, 1323
"d:\bokeh utils code\.npm\_logs\2022-03-06T06_13_30_541Z-debug-0.log", "Log", 0, 0, 1127, 0, 1, 1128
"d:\bokeh utils code\.npm\_logs\2022-03-06T06_13_37_285Z-debug-0.log", "Log", 0, 0, 30, 0, 1, 31
"d:\bokeh utils code\.npm\_logs\2022-03-06T06_13_38_155Z-debug-0.log", "Log", 0, 0, 1322, 0, 1, 1323
"d:\bokeh utils code\.npm\_logs\2022-03-06T06_13_44_072Z-debug-0.log", "Log", 0, 0, 1129, 0, 1, 1130
"d:\bokeh utils code\.npm\_logs\2022-03-06T06_14_28_172Z-debug-0.log", "Log", 0, 0, 30, 0, 1, 31
"d:\bokeh utils code\.npm\_logs\2022-03-06T06_14_28_985Z-debug-0.log", "Log", 0, 0, 1322, 0, 1, 1323
"d:\bokeh utils code\.npm\_logs\2022-03-06T06_14_35_850Z-debug-0.log", "Log", 0, 0, 1127, 0, 1, 1128
"d:\bokeh utils code\.npm\_logs\2022-03-06T06_14_42_270Z-debug-0.log", "Log", 0, 0, 30, 0, 1, 31
"d:\bokeh utils code\.npm\_logs\2022-03-06T06_14_43_079Z-debug-0.log", "Log", 0, 0, 1322, 0, 1, 1323
"d:\bokeh utils code\.npm\_logs\2022-03-06T06_14_48_942Z-debug-0.log", "Log", 0, 0, 1125, 0, 1, 1126
"d:\bokeh utils code\.npm\_logs\2022-03-06T06_23_09_767Z-debug.log", "Log", 0, 0, 1311, 0, 1, 1312
"d:\bokeh utils code\.npm\_logs\2022-03-06T06_23_24_041Z-debug.log", "Log", 0, 0, 1674, 0, 1, 1675
"d:\bokeh utils code\.npm\_logs\2022-03-06T06_23_33_952Z-debug.log", "Log", 0, 0, 1311, 0, 1, 1312
"d:\bokeh utils code\.npm\_logs\2022-03-06T06_23_48_068Z-debug.log", "Log", 0, 0, 1680, 0, 1, 1681
"d:\bokeh utils code\.npm\_logs\2022-03-06T06_24_46_146Z-debug.log", "Log", 0, 0, 1806, 0, 1, 1807
"d:\bokeh utils code\.npm\_logs\2022-03-06T06_25_00_338Z-debug.log", "Log", 0, 0, 1680, 0, 1, 1681
"d:\bokeh utils code\.npm\_logs\2022-03-06T06_25_19_749Z-debug.log", "Log", 0, 0, 1666, 0, 1, 1667
"d:\bokeh utils code\.npm\_logs\2022-03-06T06_25_40_157Z-debug.log", "Log", 0, 0, 1692, 0, 1, 1693
"d:\bokeh utils code\.npm\_logs\2022-03-06T06_25_54_355Z-debug.log", "Log", 0, 0, 1680, 0, 1, 1681
"d:\bokeh utils code\.npm\_logs\2022-03-06T06_26_26_162Z-debug.log", "Log", 0, 0, 1692, 0, 1, 1693
"d:\bokeh utils code\.npm\anonymous-cli-metrics.json", "JSON", 1, 0, 0, 0, 0, 1
"d:\bokeh utils code\buttons\askfirst_dm.js", "JavaScript", 0, 17, 0, 0, 4, 21
"d:\bokeh utils code\buttons\close_dm.js", "JavaScript", 0, 17, 0, 0, 4, 21
"d:\bokeh utils code\buttons\open_dm.js", "JavaScript", 0, 17, 0, 0, 4, 21
"d:\bokeh utils code\commands\moderator\reactionroles.js", "JavaScript", 0, 37, 0, 1, 17, 55
"d:\bokeh utils code\commands\utility\botsuggest.js", "JavaScript", 0, 30, 0, 0, 3, 33
"d:\bokeh utils code\commands\utility\bugreport.js", "JavaScript", 0, 27, 0, 0, 3, 30
"d:\bokeh utils code\commands\utility\ris.js", "JavaScript", 0, 10, 0, 0, 2, 12
"d:\bokeh utils code\commands\utility\room.js", "JavaScript", 0, 180, 0, 3, 26, 209
"d:\bokeh utils code\events\client\ready.js", "JavaScript", 0, 2, 0, 0, 0, 2
"d:\bokeh utils code\events\guild\messageCreate.js", "JavaScript", 0, -2, 0, 0, 0, -2
"d:\bokeh utils code\functions\bumpreminder.js", "JavaScript", 0, 6, 0, 0, 1, 7
"d:\bokeh utils code\package-lock.json", "JSON", 387, 0, 0, 0, 0, 387
"d:\bokeh utils code\package.json", "JSON", 2, 0, 0, 0, 0, 2
"Total", "-", 394, 341, 26078, 4, 85, 26902
